math_score,science_score,english_score,study_hours,final_score,study_group,performance_level
28.0,29.0,95.0,9.1,61.6,High,Good
98.0,59.0,99.0,4.6,98.4,Medium,Excellent
63.0,24.0,64.0,9.3,61.8,High,Good
68.0,76.0,83.0,8.7,84.5,High,Excellent
77.0,69.0,22.0,1.0,60.0,Low,Average
30.0,48.0,65.0,3.6,52.0,Low,Average
94.0,87.0,21.0,7.9,78.9,Medium,Good
97.0,59.0,37.0,3.8,60.5,Low,Good
86.0,95.0,87.0,8.5,68.35,High,Good
87.0,86.0,66.0,4.3,83.6,Medium,Excellent
51.0,27.0,37.0,10.2,47.6,High,Average
31.0,98.0,22.0,8.9,62.4,High,Good
69.0,43.0,61.0,2.0,55.9,Low,Average
69.0,91.0,85.0,9.1,94.3,High,Excellent
100.0,78.0,28.0,3.4,63.8,Low,Good
39.0,89.0,71.0,6.4,74.3,Medium,Good
62.0,26.0,22.0,11.3,50.9,High,Average
59.0,39.0,84.0,1.8,67.0,Low,Good
79.0,48.0,57.0,3.0,63.6,Low,Good
71.0,88.0,29.0,6.7,72.4,Medium,Good
21.0,58.0,58.0,8.6,58.3,High,Average
55.0,100.0,39.0,8.1,71.0,High,Good
98.0,63.0,89.0,5.4,88.0,Medium,Excellent
37.0,72.0,100.0,7.5,79.3,Medium,Good
77.0,59.0,47.0,8.1,70.3,High,Good
97.0,49.0,22.0,3.2,57.2,Low,Average
85.0,34.0,67.0,3.2,63.6,Low,Good
20.0,28.0,78.0,3.0,48.5,Low,Average
40.0,48.0,97.0,6.5,74.3,Medium,Good
77.0,67.0,32.0,8.2,66.2,High,Good
92.0,57.0,50.0,2.6,66.2,Low,Good
65.0,55.0,88.0,11.5,79.2,High,Good
46.0,32.0,97.0,6.7,62.5,Medium,Good
100.0,93.0,21.0,1.7,71.8,Low,Good
26.0,57.0,39.0,2.6,47.2,Low,Average
36.0,59.0,92.0,10.3,82.7,High,Excellent
80.0,63.0,28.0,4.1,71.0,Medium,Good
96.0,29.0,62.0,3.0,68.8,Low,Good
76.0,97.0,67.0,10.0,93.2,High,Excellent
77.0,52.0,90.0,7.9,82.3,Medium,Excellent
45.0,30.0,69.0,7.5,60.9,Medium,Good
61.0,75.0,63.0,2.6,71.8,Low,Good
86.0,38.0,34.0,9.6,57.2,High,Average
51.0,95.0,94.0,10.1,91.1,High,Excellent
41.0,44.0,52.0,3.3,45.0,Low,Average
54.0,88.0,68.0,2.6,81.3,Low,Excellent
54.0,59.0,29.0,10.4,64.5,High,Good
46.0,61.0,98.0,8.6,82.1,High,Excellent
80.0,68.0,63.0,3.8,76.1,Low,Good
41.0,46.0,52.0,7.3,61.8,Medium,Good
85.0,59.0,91.0,6.8,86.8,Medium,Excellent
56.0,69.0,32.0,4.6,67.6,Medium,Good
95.0,66.0,92.0,7.0,93.9,Medium,Excellent
56.0,27.0,48.0,6.8,53.5,Medium,Average
52.0,42.0,92.0,6.8,63.3,Medium,Good
40.0,93.0,93.0,8.3,87.2,High,Excellent
26.0,36.0,81.0,11.0,54.9,High,Average
100.0,26.0,76.0,6.3,77.5,Medium,Good
98.0,29.0,87.0,11.8,83.2,High,Excellent
86.0,100.0,23.0,2.2,73.1,Low,Good
89.0,34.0,62.0,10.0,77.6,High,Good
50.0,59.0,50.0,8.9,54.9,High,Average
65.0,30.0,91.0,1.6,66.9,Low,Good
24.0,63.0,52.0,6.1,50.2,Medium,Average
52.0,65.0,100.0,5.9,83.3,Medium,Excellent
89.0,37.0,91.0,8.9,83.5,High,Excellent
71.0,38.0,61.0,2.0,60.2,Low,Good
73.0,70.0,96.0,5.6,87.6,Medium,Excellent
93.0,75.0,65.0,4.1,90.2,Medium,Excellent
86.0,93.0,90.0,7.3,68.35,Medium,Good
44.0,59.0,28.0,4.3,49.7,Medium,Average
76.0,59.0,27.0,4.6,62.6,Medium,Good
64.0,30.0,60.0,6.6,59.5,Medium,Average
99.0,75.0,83.0,5.0,97.1,Medium,Excellent
83.0,90.0,94.0,10.7,68.35,High,Good
75.0,77.0,98.0,10.7,98.9,High,Excellent
69.0,73.0,95.0,7.4,90.6,Medium,Excellent
30.0,72.0,72.0,8.5,72.3,High,Good
53.0,48.0,91.0,9.9,69.8,High,Good
49.0,93.0,70.0,11.3,80.1,High,Excellent
23.0,30.0,95.0,4.1,54.5,Medium,Average
20.0,36.0,96.0,5.6,55.5,Medium,Average
20.0,68.0,71.0,6.6,61.2,Medium,Good
66.0,32.0,35.0,8.1,47.3,High,Average
80.0,24.0,47.0,4.1,52.8,Medium,Average
39.0,20.0,98.0,2.8,57.0,Low,Average
94.0,67.0,48.0,9.8,76.1,High,Good
60.0,40.0,99.0,3.1,69.5,Low,Good
29.0,20.0,56.0,9.7,45.9,High,Average
95.0,32.0,70.0,11.7,90.7,High,Excellent
34.0,28.0,56.0,3.0,44.0,Low,Average
65.0,30.0,47.0,10.1,53.1,High,Average
22.0,83.0,46.0,11.7,61.0,High,Good
46.0,47.0,67.0,2.1,59.0,Low,Average
20.0,57.0,57.0,7.4,54.0,Medium,Average
98.0,69.0,50.0,9.3,80.4,High,Excellent
99.0,59.0,87.0,10.0,94.1,High,Excellent
67.0,40.0,53.0,6.9,61.3,Medium,Good
26.0,83.0,37.0,5.5,49.7,Medium,Average
63.0,41.0,83.0,7.1,68.2,Medium,Good
88.0,29.0,69.0,7.9,75.8,Medium,Good
59.0,74.0,88.0,2.9,75.6,Low,Good
79.0,54.0,70.0,3.9,71.5,Low,Good
46.0,46.0,63.0,2.8,54.7,Low,Average
50.0,53.0,56.0,10.8,69.8,High,Good
74.0,89.0,77.0,1.6,81.4,Low,Excellent
62.0,34.0,83.0,9.5,76.2,High,Good
22.0,96.0,99.0,9.0,88.7,High,Excellent
65.0,57.0,79.0,3.8,77.5,Low,Good
84.0,62.0,81.0,7.7,87.1,Medium,Excellent
22.0,66.0,93.0,11.5,77.4,High,Good
76.0,44.0,94.0,6.6,78.9,Medium,Good
43.0,66.0,77.0,11.3,78.0,High,Good
98.0,37.0,58.0,9.4,80.1,High,Excellent
46.0,40.0,66.0,2.2,58.8,Low,Average
64.0,41.0,69.0,7.7,65.9,Medium,Good
99.0,93.0,88.0,5.0,68.35,Medium,Good
31.0,52.0,65.0,7.4,50.9,Medium,Average
92.0,51.0,97.0,7.6,92.0,Medium,Excellent
48.0,58.0,37.0,4.8,60.3,Medium,Good
35.0,89.0,80.0,5.2,75.8,Medium,Good
83.0,22.0,73.0,3.9,68.8,Low,Good
79.0,74.0,73.0,5.7,87.7,Medium,Excellent
22.0,92.0,47.0,5.0,58.4,Medium,Average
65.0,71.0,61.0,9.3,81.1,High,Excellent
73.0,94.0,70.0,4.3,79.9,Medium,Good
36.0,71.0,88.0,1.5,66.9,Low,Good
41.0,45.0,78.0,6.1,63.4,Medium,Good
54.0,80.0,91.0,11.1,88.2,High,Excellent
41.0,63.0,90.0,4.4,69.0,Medium,Good
86.0,52.0,44.0,8.5,70.1,High,Good
50.0,45.0,41.0,9.6,60.2,High,Good
28.0,66.0,27.0,8.6,48.3,High,Average
60.0,53.0,57.0,5.3,64.1,Medium,Good
53.0,44.0,27.0,4.8,43.2,Medium,Average
21.0,23.0,47.0,4.0,32.3,Low,Poor
61.0,96.0,30.0,11.3,75.7,High,Good
34.0,40.0,79.0,4.5,55.7,Medium,Average
90.0,31.0,29.0,1.2,45.6,Low,Average
56.0,92.0,86.0,3.8,85.2,Low,Excellent
48.0,99.0,80.0,6.9,85.6,Medium,Excellent
99.0,62.0,21.0,4.6,65.8,Medium,Good
97.0,58.0,41.0,4.9,76.8,Medium,Good
92.0,25.0,30.0,10.3,67.6,High,Good
68.0,60.0,31.0,2.0,55.7,Low,Average
60.0,84.0,28.0,4.2,58.1,Medium,Average
51.0,24.0,40.0,10.0,54.7,High,Average
74.0,77.0,68.0,8.3,78.7,High,Good
87.0,21.0,83.0,9.8,72.6,High,Good
83.0,74.0,62.0,6.2,80.3,Medium,Excellent
29.0,95.0,38.0,6.7,61.8,Medium,Good
84.0,84.0,86.0,8.3,97.3,High,Excellent
71.0,61.0,61.0,3.4,63.0,Low,Good
54.0,81.0,46.0,4.0,60.4,Low,Good
35.0,27.0,31.0,9.1,38.9,High,Poor
76.0,60.0,48.0,2.8,62.2,Low,Good
29.0,34.0,100.0,9.1,69.8,High,Good
55.0,96.0,72.0,5.9,82.1,Medium,Excellent
70.0,49.0,61.0,8.1,75.4,High,Good
23.0,70.0,40.0,10.0,53.0,High,Average
26.0,30.0,97.0,9.5,64.3,High,Good
43.0,82.0,57.0,9.5,82.0,High,Excellent
49.0,57.0,57.0,10.7,67.3,High,Good
100.0,86.0,53.0,9.3,92.7,High,Excellent
60.0,59.0,89.0,3.9,81.6,Low,Excellent
78.0,81.0,73.0,2.5,81.8,Low,Excellent
83.0,70.0,90.0,4.1,85.1,Medium,Excellent
60.0,92.0,93.0,9.3,85.4,High,Excellent
45.0,95.0,68.0,6.0,76.6,Medium,Good
38.0,54.0,72.0,4.0,60.6,Low,Good
93.0,51.0,21.0,6.1,62.5,Medium,Good
71.0,34.0,48.0,10.2,66.9,High,Good
45.0,45.0,77.0,9.6,69.1,High,Good
29.0,36.0,32.0,8.1,43.7,High,Average
97.0,60.0,70.0,5.0,84.4,Medium,Excellent
96.0,100.0,51.0,9.9,89.2,High,Excellent
85.0,38.0,84.0,5.8,74.0,Medium,Good
42.0,44.0,93.0,7.5,68.3,Medium,Good
56.0,99.0,100.0,10.8,97.6,High,Excellent
21.0,88.0,95.0,4.8,82.2,Medium,Excellent
32.0,27.0,61.0,8.0,45.5,Medium,Average
60.0,27.0,90.0,2.6,61.4,Low,Good
60.0,92.0,35.0,10.8,74.7,High,Good
56.0,43.0,56.0,11.4,63.1,High,Good
21.0,86.0,46.0,4.2,59.3,Medium,Average
36.0,51.0,99.0,10.9,77.9,High,Good
93.0,44.0,74.0,3.0,65.9,Low,Good
85.0,23.0,26.0,7.9,49.8,Medium,Average
79.0,100.0,52.0,7.4,79.5,Medium,Good
66.0,50.0,37.0,11.0,75.7,High,Good
35.0,25.0,93.0,2.1,60.4,Low,Good
41.0,35.0,78.0,8.7,65.3,High,Good
30.0,39.0,41.0,5.0,41.9,Medium,Average
98.0,97.0,89.0,6.6,68.35,Medium,Good
65.0,52.0,96.0,2.3,71.3,Low,Good
50.0,41.0,38.0,4.8,46.0,Medium,Average
99.0,53.0,43.0,10.1,73.0,High,Good
97.0,68.0,53.0,10.9,88.0,High,Excellent
43.0,39.0,90.0,7.4,63.7,Medium,Good
93.0,62.0,36.0,6.0,79.6,Medium,Good
91.0,70.0,27.0,4.4,73.8,Medium,Good
74.0,59.0,24.0,4.5,66.5,Medium,Good
65.0,21.0,33.0,8.3,52.0,High,Average
21.0,51.0,61.0,4.6,46.2,Medium,Average
95.0,21.0,73.0,6.2,62.5,Medium,Good
55.0,89.0,90.0,6.0,82.2,Medium,Excellent
40.0,39.0,42.0,3.4,44.1,Low,Average
100.0,77.0,66.0,11.7,94.6,High,Excellent
100.0,63.0,95.0,10.9,68.35,High,Good
40.0,22.0,98.0,3.4,58.7,Low,Average
33.0,74.0,72.0,7.7,68.1,Medium,Good
61.0,89.0,71.0,10.7,87.9,High,Excellent
90.0,32.0,91.0,10.9,89.6,High,Excellent
63.0,28.0,93.0,3.1,68.2,Low,Good
75.0,38.0,49.0,5.9,62.9,Medium,Good
47.0,48.0,45.0,8.7,55.2,High,Average
37.0,95.0,50.0,5.3,62.7,Medium,Good
42.0,40.0,37.0,5.9,46.0,Medium,Average
57.0,94.0,61.0,9.2,90.0,High,Excellent
22.0,72.0,82.0,2.7,60.4,Low,Good
48.0,40.0,79.0,7.0,54.9,Medium,Average
72.0,87.0,100.0,5.0,94.6,Medium,Excellent
60.0,48.0,29.0,1.7,44.3,Low,Average
95.0,74.0,95.0,4.4,93.4,Medium,Excellent
74.0,21.0,45.0,3.8,48.7,Low,Average
20.0,87.0,26.0,1.1,42.9,Low,Average
39.0,83.0,37.0,9.6,59.7,High,Average
75.0,87.0,56.0,9.5,82.1,High,Excellent
89.0,74.0,47.0,9.3,88.9,High,Excellent
90.0,55.0,59.0,1.7,65.9,Low,Good
24.0,49.0,38.0,9.2,43.8,High,Average
74.0,46.0,49.0,1.7,64.3,Low,Good
80.0,75.0,22.0,2.2,60.2,Low,Good
68.0,76.0,84.0,1.4,75.2,Low,Good
89.0,63.0,69.0,6.9,84.6,Medium,Excellent
48.0,59.0,43.0,6.2,63.0,Medium,Good
26.0,93.0,61.0,5.1,66.9,Medium,Good
21.0,63.0,73.0,8.3,59.2,High,Average
43.0,96.0,95.0,6.8,95.8,Medium,Excellent
30.0,21.0,85.0,5.5,55.2,Medium,Average
84.0,34.0,48.0,5.4,60.1,Medium,Good
84.0,76.0,26.0,4.0,64.6,Low,Good
80.0,86.0,51.0,5.9,77.9,Medium,Good
69.0,43.0,74.0,4.2,64.1,Medium,Good
87.0,77.0,91.0,8.2,98.4,High,Excellent
36.0,61.0,22.0,10.3,51.7,High,Average
32.0,94.0,51.0,1.3,63.6,Low,Good
37.0,48.0,37.0,10.6,50.2,High,Average
24.0,63.0,20.0,3.9,44.6,Low,Average
75.0,74.0,53.0,6.5,67.7,Medium,Good
62.0,78.0,27.0,9.9,60.4,High,Good
34.0,90.0,61.0,1.9,68.9,Low,Good
37.0,63.0,51.0,10.1,60.3,High,Good
85.0,23.0,77.0,5.7,71.1,Medium,Good
88.0,36.0,30.0,7.0,59.0,Medium,Average
72.0,74.0,57.0,2.0,69.7,Low,Good
60.0,83.0,40.0,8.8,74.9,High,Good
51.0,31.0,100.0,9.0,74.6,High,Good
59.0,30.0,64.0,2.6,57.4,Low,Average
48.0,45.0,87.0,1.4,56.8,Low,Average
41.0,22.0,25.0,9.8,43.0,High,Average
22.0,42.0,68.0,3.1,46.9,Low,Average
29.0,72.0,91.0,1.1,62.2,Low,Good
24.0,48.0,40.0,8.3,54.3,High,Average
21.0,64.0,34.0,7.6,50.2,Medium,Average
87.0,45.0,65.0,10.5,81.6,High,Excellent
37.0,83.0,69.0,3.0,63.9,Low,Good
51.0,80.0,20.0,6.6,66.1,Medium,Good
42.0,82.0,28.0,4.9,64.5,Medium,Good
45.0,94.0,82.0,1.6,70.4,Low,Good
60.0,99.0,43.0,4.5,69.7,Medium,Good
64.0,66.0,51.0,9.1,69.2,High,Good
36.0,40.0,99.0,6.6,66.8,Medium,Good
70.0,33.0,66.0,6.4,64.4,Medium,Good
63.0,52.0,67.0,5.0,62.8,Medium,Good
59.0,53.0,29.0,2.4,45.7,Low,Average
95.0,97.0,58.0,4.8,87.8,Medium,Excellent
21.0,47.0,60.0,6.3,52.8,Medium,Average
68.0,98.0,89.0,10.3,99.3,High,Excellent
25.0,68.0,82.0,8.6,66.5,High,Good
79.0,49.0,74.0,2.4,64.5,Low,Good
65.0,81.0,78.0,6.6,86.0,Medium,Excellent
30.0,28.0,76.0,3.7,47.3,Low,Average
38.0,28.0,58.0,10.7,55.9,High,Average
62.0,59.0,24.0,3.4,53.1,Low,Average
93.0,33.0,78.0,2.9,70.9,Low,Good
77.0,89.0,28.0,11.6,77.5,High,Good
60.0,22.0,71.0,3.3,57.2,Low,Average
94.0,37.0,59.0,11.0,82.2,High,Excellent
67.0,70.0,53.0,8.0,67.7,Medium,Good
37.0,47.0,29.0,6.8,51.7,Medium,Average
94.0,38.0,49.0,6.9,69.4,Medium,Good
43.0,66.0,62.0,3.3,56.7,Low,Average
42.0,62.0,24.0,5.7,55.6,Medium,Average
51.0,83.0,99.0,12.0,90.4,High,Excellent
77.0,35.0,96.0,2.6,75.3,Low,Good
64.0,57.0,77.0,8.5,70.3,High,Good
79.0,37.0,61.0,9.0,52.1,High,Average
94.0,36.0,80.0,2.7,64.7,Low,Good
46.0,78.0,66.0,6.9,74.9,Medium,Good
85.0,36.0,39.0,4.7,60.4,Medium,Good
34.0,54.0,41.0,1.7,49.3,Low,Average
56.0,44.0,55.0,7.0,64.5,Medium,Good
59.0,92.0,75.0,10.9,85.8,High,Excellent
89.0,92.0,36.0,8.4,83.9,High,Excellent
49.0,61.0,40.0,6.8,55.2,Medium,Average
23.0,77.0,48.0,6.3,59.2,Medium,Average
30.0,69.0,87.0,1.0,65.5,Low,Good
28.0,28.0,72.0,11.0,60.4,High,Good
61.0,99.0,58.0,7.0,78.7,Medium,Good
53.0,59.0,96.0,4.6,80.9,Medium,Excellent
39.0,48.0,27.0,6.6,46.1,Medium,Average
84.0,87.0,86.0,6.6,90.8,Medium,Excellent
29.0,92.0,95.0,4.9,78.2,Medium,Good
83.0,63.0,20.0,11.8,69.9,High,Good
32.0,95.0,44.0,2.2,57.1,Low,Average
51.0,91.0,62.0,11.4,78.8,High,Good
58.0,72.0,40.0,11.8,74.3,High,Good
24.0,57.0,32.0,8.6,45.3,High,Average
94.0,49.0,74.0,2.1,77.5,Low,Good
62.0,28.0,84.0,4.0,61.4,Low,Good
26.0,58.0,50.0,5.2,50.4,Medium,Average
41.0,48.0,34.0,5.0,39.7,Medium,Poor
80.0,61.0,47.0,4.0,67.8,Low,Good
85.0,96.0,92.0,8.7,93.7,High,Excellent
29.0,28.0,78.0,10.2,53.4,High,Average
75.0,52.0,90.0,1.3,72.1,Low,Good
65.0,83.0,76.0,4.4,72.2,Medium,Good
58.0,36.0,85.0,11.7,73.9,High,Good
87.0,69.0,55.0,6.5,74.3,Medium,Good
57.0,29.0,29.0,4.7,44.8,Medium,Average
82.0,99.0,99.0,2.5,95.8,Low,Excellent
93.0,54.0,37.0,9.0,74.7,High,Good
50.0,92.0,59.0,7.1,79.4,Medium,Good
66.0,42.0,51.0,6.2,58.1,Medium,Average
73.0,98.0,90.0,9.7,68.35,High,Good
62.0,52.0,49.0,1.7,61.1,Low,Good
64.0,26.0,59.0,5.5,55.1,Medium,Average
73.0,65.0,91.0,10.1,87.3,High,Excellent
32.0,36.0,78.0,9.7,64.8,High,Good
20.0,53.0,94.0,9.5,68.8,High,Good
58.0,33.0,57.0,10.6,65.4,High,Good
80.0,23.0,100.0,3.3,67.1,Low,Good
75.0,53.0,75.0,9.5,81.5,High,Excellent
21.0,41.0,55.0,10.5,43.6,High,Average
34.0,100.0,43.0,5.3,69.2,Medium,Good
60.0,78.0,91.0,3.8,80.5,Low,Excellent
92.0,41.0,96.0,2.2,84.9,Low,Excellent
59.0,80.0,73.0,8.5,89.0,High,Excellent
70.0,54.0,46.0,6.6,73.2,Medium,Good
74.0,59.0,70.0,7.1,66.7,Medium,Good
89.0,48.0,100.0,4.3,83.5,Medium,Excellent
63.0,99.0,89.0,10.1,98.3,High,Excellent
46.0,20.0,85.0,4.9,58.9,Medium,Average
49.0,94.0,31.0,4.8,60.7,Medium,Good
68.0,56.0,59.0,9.6,73.7,High,Good
47.0,98.0,53.0,7.0,67.4,Medium,Good
98.0,98.0,56.0,6.7,94.2,Medium,Excellent
44.0,28.0,94.0,7.7,62.9,Medium,Good
39.0,38.0,81.0,1.5,60.5,Low,Good
54.0,41.0,38.0,9.9,56.4,High,Average
61.0,66.0,65.0,1.4,61.1,Low,Good
53.0,67.0,86.0,2.8,71.8,Low,Good
60.0,59.0,84.0,11.9,75.8,High,Good
32.0,86.0,99.0,9.3,84.7,High,Excellent
81.0,95.0,40.0,10.3,76.7,High,Good
91.0,84.0,37.0,11.1,82.2,High,Excellent
43.0,89.0,83.0,2.8,75.5,Low,Good
73.0,52.0,21.0,4.6,55.5,Medium,Average
81.0,62.0,28.0,1.3,61.1,Low,Good
23.0,89.0,22.0,11.4,61.1,High,Good
96.0,48.0,78.0,5.5,85.4,Medium,Excellent
93.0,79.0,70.0,2.6,86.2,Low,Excellent
90.0,26.0,73.0,10.7,74.1,High,Good
75.0,25.0,34.0,2.2,49.6,Low,Average
91.0,86.0,64.0,2.2,83.0,Low,Excellent
58.0,35.0,49.0,5.7,52.7,Medium,Average
46.0,37.0,65.0,3.1,55.8,Low,Average
75.0,78.0,75.0,11.7,90.4,High,Excellent
39.0,83.0,44.0,7.6,67.5,Medium,Good
59.0,86.0,21.0,9.0,59.6,High,Average
52.0,74.0,58.0,7.5,77.2,Medium,Good
59.0,98.0,91.0,8.3,82.7,High,Excellent
67.0,61.0,58.0,6.1,69.1,Medium,Good
94.0,64.0,56.0,6.5,82.4,Medium,Excellent
74.0,77.0,66.0,6.3,79.7,Medium,Good
37.0,42.0,95.0,8.6,62.5,High,Good
66.0,53.0,41.0,5.3,65.6,Medium,Good
96.0,28.0,60.0,7.6,72.4,Medium,Good
80.0,45.0,70.0,3.0,69.1,Low,Good
77.0,51.0,98.0,8.1,78.7,High,Good
27.0,74.0,60.0,2.3,53.6,Low,Average
40.0,41.0,59.0,11.7,58.8,High,Average
57.0,57.0,42.0,5.4,64.5,Medium,Good
40.0,54.0,52.0,10.9,60.9,High,Good
42.0,89.0,75.0,4.2,74.7,Medium,Good
62.0,23.0,49.0,4.3,47.9,Medium,Average
32.0,92.0,58.0,5.4,66.1,Medium,Good
64.0,24.0,56.0,10.8,57.9,High,Average
41.0,26.0,71.0,10.9,60.5,High,Good
21.0,91.0,75.0,6.5,68.1,Medium,Good
20.0,90.0,83.0,1.1,67.0,Low,Good
46.0,90.0,39.0,5.8,68.8,Medium,Good
32.0,40.0,93.0,9.4,64.0,High,Good
30.0,89.0,43.0,11.6,74.4,High,Good
38.0,59.0,24.0,7.4,48.4,Medium,Average
89.0,20.0,77.0,6.7,65.8,Medium,Good
43.0,28.0,26.0,6.6,45.0,Medium,Average
59.0,60.0,47.0,7.4,64.8,Medium,Good
40.0,88.0,82.0,7.3,72.2,Medium,Good
37.0,80.0,93.0,11.5,83.2,High,Excellent
62.0,57.0,98.0,9.2,72.9,High,Good
45.0,75.0,31.0,1.4,53.1,Low,Average
31.0,81.0,52.0,3.3,61.1,Low,Good
92.0,82.0,56.0,4.5,80.7,Medium,Excellent
35.0,89.0,69.0,10.7,80.4,High,Excellent
38.0,34.0,85.0,9.8,64.0,High,Good
98.0,89.0,41.0,2.9,87.1,Low,Excellent
55.0,83.0,45.0,4.6,63.9,Medium,Good
27.0,96.0,82.0,4.9,81.3,Medium,Excellent
79.0,50.0,32.0,7.0,66.1,Medium,Good
