math_score,science_score,english_score,study_hours,final_score
32.0,86.0,100.0,6.3,87.2
30.0,69.0,45.0,9.1,57.3
47.0,92.0,43.0,5.7,72.8
97.0,93.0,26.0,7.9,76.8
35.0,23.0,27.0,9.3,39.0
80.0,24.0,46.0,6.5,59.6
69.0,45.0,43.0,6.9,56.0
49.0,98.0,57.0,2.9,69.2
56.0,94.0,86.0,9.3,87.2
,92.0,78.0,2.9,90.4
53.0,52.0,48.0,6.4,57.1
29.0,98.0,28.0,6.9,67.0
79.0,58.0,44.0,5.7,74.4
60.0,26.0,49.0,7.9,50.4
67.0,84.0,70.0,7.9,76.0
23.0,52.0,28.0,5.2,41.1
72.0,30.0,88.0,6.9,74.2
41.0,99.0,64.0,6.2,68.5
71.0,89.0,95.0,3.4,91.5
22.0,61.0,95.0,2.8,65.5
37.0,98.0,61.0,8.9,71.1
44.0,71.0,88.0,3.8,74.6
60.0,76.0,42.0,10.0,76.8
27.0,56.0,32.0,8.7,51.8
39.0,60.0,63.0,5.1,56.9
74.0,79.0,77.0,6.3,78.9
81.0,40.0,90.0,,74.7
40.0,43.0,99.0,11.7,71.7
65.0,69.0,67.0,8.3,84.6
63.0,71.0,40.0,6.9,65.4
86.0,59.0,54.0,,63.7
74.0,32.0,94.0,5.6,74.3
58.0,83.0,72.0,11.1,84.0
99.0,36.0,53.0,8.4,72.0
49.0,27.0,31.0,6.5,44.3
48.0,86.0,70.0,5.5,75.8
38.0,27.0,34.0,8.4,41.0
73.0,85.0,39.0,2.3,67.5
87.0,91.0,98.0,7.7,109.9
64.0,58.0,70.0,5.8,62.2
44.0,42.0,79.0,7.5,65.2
96.0,31.0,83.0,6.0,78.4
54.0,58.0,98.0,10.2,83.4
34.0,100.0,24.0,9.1,61.4
94.0,32.0,24.0,10.7,62.4
97.0,91.0,41.0,4.8,79.0
28.0,29.0,95.0,9.1,61.6
98.0,,99.0,4.6,98.4
63.0,24.0,64.0,9.3,61.8
68.0,76.0,83.0,8.7,84.5
77.0,69.0,22.0,1.0,60.0
30.0,48.0,65.0,3.6,52.0
94.0,87.0,21.0,7.9,78.9
97.0,,37.0,3.8,60.5
86.0,95.0,87.0,8.5,103.2
87.0,86.0,66.0,4.3,83.6
51.0,27.0,37.0,10.2,47.6
31.0,98.0,22.0,8.9,62.4
69.0,43.0,61.0,2.0,55.9
69.0,91.0,85.0,9.1,94.3
100.0,78.0,28.0,3.4,63.8
39.0,89.0,71.0,6.4,74.3
62.0,26.0,22.0,11.3,50.9
59.0,39.0,84.0,1.8,67.0
79.0,48.0,57.0,3.0,63.6
71.0,88.0,29.0,6.7,72.4
21.0,58.0,58.0,8.6,58.3
55.0,100.0,39.0,8.1,71.0
98.0,63.0,89.0,5.4,88.0
37.0,72.0,100.0,7.5,79.3
77.0,59.0,47.0,8.1,70.3
97.0,49.0,22.0,3.2,57.2
85.0,34.0,67.0,3.2,63.6
20.0,28.0,78.0,3.0,48.5
40.0,48.0,97.0,6.5,74.3
77.0,67.0,32.0,8.2,66.2
92.0,57.0,50.0,2.6,66.2
65.0,55.0,88.0,11.5,79.2
46.0,32.0,97.0,6.7,62.5
100.0,93.0,21.0,1.7,71.8
26.0,57.0,39.0,2.6,47.2
36.0,,92.0,10.3,82.7
80.0,63.0,28.0,4.1,71.0
96.0,29.0,62.0,3.0,68.8
76.0,97.0,67.0,10.0,93.2
77.0,52.0,90.0,7.9,82.3
45.0,30.0,69.0,7.5,60.9
61.0,75.0,63.0,2.6,71.8
86.0,38.0,34.0,9.6,57.2
51.0,95.0,94.0,10.1,91.1
41.0,44.0,52.0,3.3,45.0
54.0,88.0,68.0,2.6,81.3
54.0,59.0,29.0,10.4,64.5
46.0,61.0,98.0,8.6,82.1
80.0,68.0,63.0,3.8,76.1
41.0,46.0,52.0,7.3,61.8
85.0,59.0,91.0,6.8,86.8
56.0,69.0,32.0,4.6,67.6
95.0,66.0,92.0,7.0,93.9
56.0,27.0,48.0,6.8,53.5
52.0,42.0,92.0,6.8,63.3
40.0,93.0,93.0,8.3,87.2
26.0,36.0,81.0,11.0,54.9
100.0,26.0,76.0,6.3,77.5
98.0,29.0,87.0,11.8,83.2
86.0,100.0,23.0,2.2,73.1
89.0,34.0,62.0,10.0,77.6
50.0,-10.0,50.0,8.9,54.9
65.0,30.0,91.0,1.6,66.9
24.0,63.0,52.0,6.1,50.2
52.0,65.0,100.0,5.9,83.3
89.0,37.0,91.0,8.9,83.5
71.0,38.0,61.0,2.0,60.2
73.0,70.0,96.0,5.6,87.6
93.0,75.0,65.0,4.1,90.2
86.0,93.0,90.0,7.3,100.3
44.0,59.0,28.0,4.3,49.7
76.0,-10.0,27.0,4.6,62.6
64.0,30.0,60.0,-4.0,59.5
99.0,75.0,83.0,5.0,97.1
83.0,90.0,94.0,10.7,101.2
75.0,77.0,98.0,10.7,98.9
69.0,73.0,95.0,7.4,90.6
30.0,72.0,72.0,8.5,72.3
53.0,48.0,91.0,9.9,69.8
49.0,93.0,70.0,11.3,80.1
23.0,30.0,95.0,4.1,54.5
20.0,36.0,96.0,5.6,55.5
20.0,68.0,71.0,6.6,61.2
66.0,32.0,35.0,8.1,47.3
80.0,24.0,47.0,4.1,52.8
39.0,20.0,98.0,2.8,57.0
94.0,67.0,48.0,9.8,76.1
60.0,40.0,99.0,3.1,69.5
29.0,20.0,56.0,9.7,45.9
95.0,32.0,70.0,11.7,90.7
34.0,28.0,56.0,3.0,44.0
65.0,30.0,47.0,10.1,53.1
22.0,83.0,46.0,11.7,61.0
46.0,47.0,67.0,2.1,59.0
20.0,57.0,57.0,7.4,54.0
98.0,69.0,50.0,9.3,80.4
99.0,-10.0,87.0,10.0,94.1
67.0,40.0,53.0,6.9,61.3
26.0,83.0,37.0,5.5,49.7
63.0,41.0,83.0,7.1,68.2
88.0,29.0,69.0,7.9,75.8
59.0,74.0,88.0,2.9,75.6
79.0,54.0,70.0,3.9,71.5
46.0,46.0,63.0,2.8,54.7
50.0,53.0,56.0,10.8,69.8
74.0,89.0,77.0,1.6,81.4
37.0,98.0,61.0,8.9,71.1
62.0,34.0,83.0,9.5,76.2
22.0,96.0,99.0,9.0,88.7
65.0,57.0,79.0,3.8,77.5
84.0,62.0,81.0,7.7,87.1
22.0,66.0,93.0,11.5,77.4
76.0,44.0,94.0,6.6,78.9
43.0,66.0,77.0,11.3,78.0
98.0,37.0,58.0,9.4,80.1
46.0,40.0,66.0,2.2,58.8
64.0,41.0,69.0,7.7,65.9
99.0,93.0,88.0,5.0,100.2
31.0,52.0,65.0,7.4,50.9
92.0,51.0,97.0,7.6,92.0
48.0,58.0,37.0,4.8,60.3
35.0,89.0,80.0,5.2,75.8
83.0,22.0,73.0,3.9,68.8
79.0,74.0,73.0,5.7,87.7
22.0,92.0,47.0,5.0,58.4
65.0,71.0,61.0,9.3,81.1
73.0,94.0,70.0,4.3,79.9
36.0,71.0,88.0,1.5,66.9
41.0,45.0,78.0,6.1,63.4
54.0,80.0,91.0,11.1,88.2
41.0,63.0,90.0,4.4,69.0
86.0,52.0,44.0,8.5,70.1
50.0,45.0,41.0,9.6,60.2
28.0,66.0,27.0,8.6,48.3
150.0,53.0,57.0,5.3,64.1
53.0,44.0,27.0,4.8,43.2
21.0,23.0,47.0,4.0,32.3
61.0,96.0,30.0,11.3,75.7
34.0,40.0,79.0,4.5,55.7
90.0,31.0,29.0,1.2,45.6
56.0,92.0,86.0,3.8,85.2
48.0,99.0,80.0,6.9,85.6
99.0,62.0,21.0,4.6,65.8
97.0,58.0,41.0,4.9,76.8
92.0,25.0,30.0,10.3,67.6
68.0,60.0,31.0,2.0,55.7
60.0,84.0,28.0,4.2,58.1
51.0,24.0,40.0,10.0,54.7
74.0,77.0,68.0,8.3,78.7
87.0,21.0,83.0,9.8,72.6
83.0,74.0,62.0,6.2,80.3
29.0,95.0,38.0,6.7,61.8
84.0,84.0,86.0,8.3,97.3
71.0,61.0,,3.4,63.0
54.0,81.0,46.0,4.0,60.4
35.0,27.0,31.0,9.1,38.9
76.0,60.0,48.0,2.8,62.2
29.0,34.0,100.0,9.1,69.8
55.0,96.0,72.0,5.9,82.1
70.0,49.0,61.0,8.1,75.4
23.0,70.0,40.0,10.0,53.0
26.0,30.0,97.0,9.5,64.3
43.0,82.0,57.0,9.5,82.0
49.0,57.0,57.0,10.7,67.3
100.0,86.0,53.0,9.3,92.7
60.0,,89.0,3.9,81.6
78.0,81.0,73.0,2.5,81.8
83.0,70.0,90.0,4.1,85.1
,92.0,93.0,9.3,85.4
45.0,95.0,68.0,6.0,76.6
38.0,54.0,72.0,4.0,60.6
93.0,51.0,21.0,6.1,62.5
71.0,34.0,48.0,10.2,66.9
45.0,45.0,77.0,9.6,69.1
29.0,36.0,32.0,8.1,43.7
97.0,60.0,70.0,5.0,84.4
96.0,100.0,51.0,9.9,89.2
85.0,38.0,84.0,5.8,74.0
42.0,44.0,93.0,7.5,68.3
56.0,99.0,100.0,10.8,97.6
21.0,88.0,95.0,4.8,82.2
32.0,27.0,61.0,8.0,45.5
60.0,27.0,90.0,2.6,61.4
60.0,92.0,35.0,10.8,74.7
56.0,43.0,56.0,11.4,63.1
21.0,86.0,46.0,4.2,59.3
36.0,51.0,99.0,10.9,77.9
93.0,44.0,74.0,3.0,65.9
85.0,23.0,26.0,7.9,49.8
79.0,100.0,52.0,7.4,79.5
66.0,50.0,37.0,11.0,75.7
35.0,25.0,93.0,2.1,60.4
41.0,35.0,78.0,8.7,65.3
30.0,39.0,41.0,5.0,41.9
98.0,97.0,89.0,-4.0,108.6
65.0,52.0,96.0,2.3,71.3
50.0,41.0,38.0,4.8,46.0
99.0,53.0,43.0,10.1,73.0
97.0,68.0,53.0,10.9,88.0
43.0,39.0,90.0,7.4,63.7
93.0,62.0,36.0,6.0,79.6
91.0,70.0,27.0,4.4,73.8
74.0,,24.0,4.5,66.5
65.0,21.0,33.0,8.3,52.0
21.0,51.0,61.0,4.6,46.2
95.0,21.0,73.0,6.2,62.5
55.0,89.0,90.0,6.0,82.2
40.0,39.0,42.0,3.4,44.1
100.0,77.0,66.0,11.7,94.6
100.0,63.0,95.0,10.9,103.1
40.0,22.0,98.0,3.4,58.7
33.0,74.0,72.0,7.7,68.1
85.0,34.0,67.0,3.2,63.6
61.0,89.0,71.0,10.7,87.9
90.0,32.0,91.0,10.9,89.6
63.0,28.0,93.0,3.1,68.2
75.0,38.0,49.0,5.9,62.9
47.0,48.0,45.0,8.7,55.2
37.0,95.0,50.0,5.3,62.7
42.0,40.0,37.0,5.9,46.0
57.0,94.0,61.0,9.2,90.0
22.0,72.0,82.0,2.7,60.4
48.0,40.0,79.0,7.0,54.9
72.0,87.0,100.0,5.0,94.6
150.0,48.0,29.0,1.7,44.3
95.0,74.0,95.0,4.4,93.4
74.0,21.0,45.0,3.8,48.7
20.0,87.0,26.0,1.1,42.9
39.0,83.0,37.0,9.6,59.7
75.0,87.0,56.0,9.5,82.1
89.0,74.0,47.0,9.3,88.9
90.0,55.0,59.0,1.7,65.9
24.0,49.0,38.0,9.2,43.8
74.0,46.0,49.0,1.7,64.3
80.0,75.0,22.0,2.2,60.2
68.0,76.0,84.0,1.4,75.2
89.0,63.0,69.0,6.9,84.6
48.0,-10.0,43.0,6.2,63.0
26.0,93.0,61.0,5.1,66.9
21.0,63.0,73.0,8.3,59.2
43.0,96.0,95.0,6.8,95.8
30.0,21.0,85.0,5.5,55.2
84.0,34.0,48.0,5.4,60.1
84.0,76.0,26.0,4.0,64.6
80.0,86.0,51.0,5.9,77.9
69.0,43.0,74.0,4.2,64.1
87.0,77.0,91.0,8.2,98.4
36.0,61.0,22.0,10.3,51.7
32.0,94.0,51.0,1.3,63.6
37.0,48.0,37.0,10.6,50.2
24.0,63.0,20.0,3.9,44.6
75.0,74.0,53.0,6.5,67.7
62.0,78.0,27.0,9.9,60.4
34.0,90.0,61.0,1.9,68.9
37.0,63.0,51.0,10.1,60.3
85.0,23.0,77.0,5.7,71.1
75.0,74.0,53.0,6.5,67.7
88.0,36.0,30.0,7.0,59.0
72.0,74.0,57.0,2.0,69.7
60.0,83.0,40.0,8.8,74.9
51.0,31.0,100.0,9.0,74.6
59.0,30.0,64.0,2.6,57.4
48.0,45.0,87.0,1.4,56.8
41.0,22.0,25.0,9.8,43.0
22.0,42.0,68.0,3.1,46.9
29.0,72.0,91.0,1.1,62.2
24.0,48.0,40.0,8.3,54.3
21.0,64.0,34.0,7.6,50.2
87.0,45.0,65.0,10.5,81.6
37.0,83.0,69.0,3.0,63.9
51.0,80.0,20.0,6.6,66.1
42.0,82.0,28.0,4.9,64.5
45.0,94.0,82.0,1.6,70.4
,99.0,43.0,4.5,69.7
64.0,66.0,51.0,9.1,69.2
36.0,40.0,99.0,,66.8
70.0,33.0,66.0,6.4,64.4
63.0,52.0,67.0,5.0,62.8
59.0,53.0,29.0,2.4,45.7
95.0,97.0,58.0,4.8,87.8
21.0,47.0,60.0,6.3,52.8
68.0,98.0,89.0,10.3,99.3
25.0,68.0,82.0,8.6,66.5
79.0,49.0,74.0,2.4,64.5
65.0,81.0,78.0,6.6,86.0
30.0,28.0,76.0,3.7,47.3
38.0,28.0,58.0,10.7,55.9
62.0,59.0,24.0,3.4,53.1
93.0,33.0,78.0,2.9,70.9
77.0,89.0,28.0,11.6,77.5
60.0,22.0,71.0,3.3,57.2
94.0,37.0,59.0,11.0,82.2
67.0,70.0,53.0,8.0,67.7
37.0,47.0,29.0,6.8,51.7
94.0,38.0,49.0,6.9,69.4
43.0,66.0,62.0,3.3,56.7
42.0,62.0,24.0,5.7,55.6
51.0,83.0,99.0,12.0,90.4
77.0,35.0,96.0,2.6,75.3
64.0,57.0,77.0,8.5,70.3
79.0,37.0,,9.0,52.1
94.0,36.0,80.0,2.7,64.7
46.0,78.0,66.0,6.9,74.9
85.0,36.0,39.0,4.7,60.4
34.0,54.0,41.0,1.7,49.3
56.0,44.0,55.0,7.0,64.5
59.0,92.0,75.0,10.9,85.8
89.0,92.0,36.0,8.4,83.9
49.0,61.0,40.0,6.8,55.2
23.0,77.0,48.0,6.3,59.2
30.0,69.0,87.0,1.0,65.5
28.0,28.0,72.0,11.0,60.4
61.0,99.0,58.0,7.0,78.7
53.0,59.0,96.0,4.6,80.9
39.0,48.0,27.0,,46.1
84.0,87.0,86.0,6.6,90.8
29.0,92.0,95.0,4.9,78.2
83.0,63.0,20.0,11.8,69.9
32.0,95.0,44.0,2.2,57.1
51.0,91.0,62.0,11.4,78.8
58.0,72.0,40.0,11.8,74.3
24.0,57.0,32.0,8.6,45.3
94.0,49.0,74.0,2.1,77.5
62.0,28.0,84.0,4.0,61.4
26.0,58.0,50.0,5.2,50.4
41.0,48.0,34.0,5.0,39.7
80.0,61.0,47.0,4.0,67.8
85.0,96.0,92.0,8.7,93.7
29.0,28.0,78.0,10.2,53.4
75.0,52.0,90.0,1.3,72.1
65.0,83.0,76.0,4.4,72.2
58.0,36.0,85.0,11.7,73.9
87.0,69.0,55.0,6.5,74.3
57.0,29.0,29.0,4.7,44.8
82.0,99.0,99.0,2.5,95.8
93.0,54.0,37.0,9.0,74.7
50.0,92.0,59.0,7.1,79.4
66.0,42.0,51.0,6.2,58.1
73.0,98.0,90.0,9.7,104.5
62.0,52.0,49.0,1.7,61.1
64.0,26.0,59.0,5.5,55.1
73.0,65.0,91.0,10.1,87.3
32.0,36.0,78.0,9.7,64.8
20.0,53.0,94.0,9.5,68.8
58.0,33.0,57.0,10.6,65.4
80.0,23.0,100.0,3.3,67.1
75.0,53.0,75.0,9.5,81.5
21.0,41.0,55.0,10.5,43.6
34.0,100.0,43.0,5.3,69.2
60.0,78.0,91.0,3.8,80.5
92.0,41.0,96.0,2.2,84.9
59.0,80.0,73.0,8.5,89.0
70.0,54.0,46.0,6.6,73.2
74.0,-10.0,70.0,7.1,66.7
89.0,48.0,100.0,4.3,83.5
63.0,99.0,89.0,10.1,98.3
46.0,20.0,85.0,4.9,58.9
49.0,94.0,31.0,4.8,60.7
68.0,56.0,59.0,9.6,73.7
47.0,98.0,53.0,7.0,67.4
98.0,98.0,56.0,6.7,94.2
44.0,28.0,94.0,7.7,62.9
39.0,38.0,81.0,1.5,60.5
54.0,41.0,38.0,9.9,56.4
61.0,66.0,65.0,1.4,61.1
53.0,67.0,86.0,2.8,71.8
,59.0,84.0,11.9,75.8
32.0,86.0,99.0,9.3,84.7
81.0,95.0,40.0,10.3,76.7
91.0,84.0,37.0,11.1,82.2
43.0,89.0,83.0,2.8,75.5
73.0,52.0,21.0,4.6,55.5
81.0,62.0,28.0,1.3,61.1
23.0,89.0,22.0,11.4,61.1
96.0,48.0,78.0,5.5,85.4
93.0,79.0,70.0,2.6,86.2
90.0,26.0,73.0,10.7,74.1
75.0,25.0,34.0,2.2,49.6
91.0,86.0,64.0,2.2,83.0
58.0,35.0,49.0,5.7,52.7
46.0,37.0,65.0,3.1,55.8
75.0,78.0,75.0,11.7,90.4
39.0,83.0,44.0,7.6,67.5
59.0,86.0,21.0,9.0,59.6
52.0,74.0,58.0,7.5,77.2
59.0,98.0,91.0,8.3,82.7
67.0,61.0,58.0,6.1,69.1
94.0,64.0,56.0,6.5,82.4
74.0,77.0,66.0,6.3,79.7
37.0,42.0,95.0,8.6,62.5
66.0,53.0,41.0,5.3,65.6
96.0,28.0,60.0,7.6,72.4
80.0,45.0,70.0,3.0,69.1
77.0,51.0,98.0,8.1,78.7
27.0,74.0,60.0,2.3,53.6
40.0,41.0,59.0,11.7,58.8
57.0,57.0,42.0,5.4,64.5
40.0,54.0,52.0,10.9,60.9
42.0,89.0,75.0,4.2,74.7
62.0,23.0,49.0,4.3,47.9
32.0,92.0,58.0,5.4,66.1
64.0,24.0,56.0,10.8,57.9
41.0,26.0,71.0,10.9,60.5
21.0,91.0,75.0,6.5,68.1
20.0,90.0,83.0,1.1,67.0
46.0,90.0,39.0,5.8,68.8
32.0,40.0,93.0,9.4,64.0
30.0,89.0,43.0,11.6,74.4
38.0,59.0,24.0,7.4,48.4
89.0,20.0,77.0,6.7,65.8
43.0,28.0,26.0,,45.0
59.0,60.0,47.0,7.4,64.8
40.0,88.0,82.0,7.3,72.2
37.0,80.0,93.0,11.5,83.2
62.0,57.0,98.0,9.2,72.9
45.0,75.0,31.0,1.4,53.1
31.0,81.0,52.0,3.3,61.1
92.0,82.0,56.0,4.5,80.7
35.0,89.0,69.0,10.7,80.4
38.0,34.0,85.0,9.8,64.0
98.0,89.0,41.0,2.9,87.1
55.0,83.0,45.0,4.6,63.9
27.0,96.0,82.0,4.9,81.3
79.0,50.0,32.0,7.0,66.1
55.0,39.0,43.0,3.2,47.2
51.0,63.0,59.0,7.2,59.0
50.0,80.0,53.0,9.7,73.4
71.0,24.0,33.0,1.9,44.0
31.0,79.0,76.0,11.8,81.1
76.0,32.0,23.0,6.7,60.0
74.0,84.0,38.0,6.7,74.2
30.0,26.0,32.0,8.1,43.5
63.0,48.0,40.0,6.4,59.5
22.0,61.0,28.0,-4.0,51.9
71.0,95.0,42.0,3.7,80.9
62.0,88.0,25.0,9.9,68.6
59.0,66.0,99.0,5.1,78.4
50.0,88.0,88.0,-4.0,84.9
56.0,84.0,45.0,3.9,67.6
87.0,59.0,,7.5,67.9
86.0,61.0,21.0,6.0,66.6
28.0,85.0,86.0,,80.2
92.0,40.0,96.0,7.1,84.3
43.0,46.0,37.0,2.9,47.0
36.0,26.0,87.0,3.6,53.4
26.0,78.0,33.0,8.2,56.3
82.0,85.0,64.0,4.9,86.1
75.0,58.0,73.0,10.1,81.0
59.0,60.0,51.0,7.4,63.2
68.0,35.0,82.0,8.1,71.6
,90.0,64.0,10.0,75.5
80.0,46.0,26.0,2.0,49.6
65.0,68.0,39.0,11.5,71.9
57.0,30.0,76.0,8.0,58.4
82.0,38.0,76.0,1.8,61.3
59.0,69.0,91.0,11.9,86.6
59.0,60.0,51.0,7.4,63.2
38.0,52.0,33.0,7.5,53.3
76.0,89.0,59.0,3.7,77.9
26.0,80.0,52.0,10.1,66.1
27.0,62.0,100.0,8.3,70.3
31.0,85.0,62.0,3.3,68.1
90.0,30.0,57.0,2.0,69.7
96.0,39.0,34.0,,75.3
99.0,75.0,55.0,8.3,87.3
41.0,73.0,88.0,11.5,82.7
70.0,85.0,74.0,1.1,84.8
68.0,62.0,70.0,1.1,68.7
35.0,20.0,35.0,2.1,41.0
58.0,90.0,63.0,3.0,72.8
67.0,,90.0,1.0,72.1
75.0,24.0,24.0,8.6,43.6
95.0,89.0,46.0,5.7,84.8
45.0,98.0,66.0,11.1,80.9
30.0,20.0,85.0,6.2,55.8
57.0,21.0,29.0,3.0,41.5
69.0,58.0,41.0,6.8,58.6
45.0,26.0,50.0,10.0,51.1
58.0,25.0,72.0,5.8,62.2
54.0,34.0,21.0,2.7,41.5
64.0,49.0,50.0,11.3,76.7
35.0,45.0,92.0,6.3,65.6
45.0,43.0,59.0,10.9,60.7
58.0,90.0,88.0,8.1,90.6
25.0,68.0,79.0,7.0,69.6
80.0,83.0,65.0,11.5,92.0
48.0,82.0,23.0,11.0,63.6
78.0,66.0,56.0,4.1,71.9
85.0,43.0,43.0,4.2,63.1
96.0,78.0,54.0,11.4,89.7
100.0,48.0,49.0,8.4,78.3
44.0,39.0,78.0,11.8,63.1
29.0,54.0,91.0,10.2,67.9
75.0,67.0,99.0,7.5,92.9
24.0,25.0,23.0,5.5,40.6
54.0,43.0,48.0,8.2,61.0
89.0,72.0,74.0,10.7,93.4
51.0,37.0,95.0,3.2,67.0
91.0,75.0,61.0,4.8,75.7
89.0,37.0,91.0,8.9,83.5
20.0,29.0,80.0,1.2,47.5
62.0,71.0,57.0,10.8,73.5
21.0,99.0,94.0,2.4,73.3
97.0,73.0,63.0,2.6,86.1
35.0,72.0,98.0,5.3,73.8
87.0,84.0,100.0,4.4,100.5
98.0,,58.0,3.0,90.4
47.0,28.0,96.0,7.2,62.2
58.0,88.0,20.0,2.5,58.1
98.0,88.0,60.0,1.3,77.6
91.0,41.0,61.0,1.8,61.4
23.0,55.0,63.0,10.2,55.4
85.0,61.0,61.0,3.6,76.2
57.0,84.0,58.0,6.8,68.2
24.0,22.0,20.0,3.0,22.2
88.0,36.0,87.0,9.7,83.9
81.0,69.0,40.0,2.7,61.1
37.0,91.0,33.0,3.4,54.9
28.0,50.0,74.0,11.3,63.4
,89.0,80.0,4.0,86.2
36.0,60.0,91.0,9.2,69.3
150.0,100.0,33.0,10.2,78.7
68.0,93.0,32.0,5.7,73.5
53.0,94.0,34.0,11.9,73.4
93.0,54.0,37.0,9.0,74.7
38.0,29.0,88.0,5.5,54.2
53.0,66.0,24.0,4.7,48.2
95.0,57.0,38.0,4.4,68.2
58.0,69.0,53.0,8.5,68.7
76.0,78.0,52.0,5.7,79.4
76.0,36.0,64.0,8.2,67.5
26.0,63.0,23.0,10.6,48.0
150.0,37.0,56.0,7.0,56.4
100.0,20.0,83.0,2.6,75.9
55.0,20.0,33.0,5.5,43.5
67.0,75.0,42.0,6.4,68.9
87.0,91.0,79.0,10.4,91.0
55.0,50.0,65.0,7.3,66.3
50.0,69.0,98.0,1.6,74.9
76.0,39.0,71.0,10.1,81.4
55.0,24.0,72.0,2.3,56.7
71.0,34.0,48.0,8.2,59.2
32.0,74.0,65.0,1.4,68.2
29.0,86.0,53.0,3.3,62.0
43.0,89.0,45.0,6.6,67.0
78.0,74.0,63.0,10.9,88.3
78.0,100.0,90.0,11.4,96.9
24.0,50.0,54.0,10.0,48.9
,99.0,60.0,6.2,63.8
79.0,53.0,63.0,5.6,69.2
99.0,53.0,44.0,9.6,72.4
60.0,32.0,36.0,10.5,52.8
85.0,33.0,32.0,6.4,57.7
62.0,41.0,46.0,7.9,56.5
39.0,65.0,31.0,3.8,51.9
78.0,22.0,21.0,1.5,39.4
97.0,67.0,26.0,2.2,71.8
93.0,49.0,44.0,2.1,56.6
73.0,80.0,63.0,7.2,77.3
94.0,50.0,35.0,2.5,70.4
57.0,66.0,100.0,2.1,75.4
64.0,74.0,62.0,7.8,75.1
46.0,63.0,,3.5,72.0
65.0,68.0,71.0,5.3,66.8
59.0,31.0,68.0,10.0,58.7
50.0,44.0,51.0,7.6,57.1
20.0,81.0,29.0,6.0,50.0
78.0,66.0,83.0,2.2,79.8
57.0,64.0,28.0,7.5,59.5
33.0,40.0,88.0,7.2,62.1
34.0,54.0,53.0,3.4,51.7
30.0,67.0,70.0,6.1,58.5
78.0,86.0,34.0,11.0,82.3
95.0,75.0,63.0,,81.0
87.0,70.0,80.0,7.3,90.4
84.0,38.0,66.0,2.5,72.9
92.0,43.0,20.0,6.7,55.5
74.0,53.0,51.0,7.7,74.0
27.0,82.0,75.0,7.3,71.0
85.0,87.0,68.0,9.6,90.0
72.0,50.0,40.0,7.3,66.6
88.0,98.0,45.0,6.6,88.6
92.0,89.0,87.0,5.3,94.5
22.0,57.0,60.0,7.0,53.1
31.0,49.0,95.0,9.6,61.4
80.0,34.0,92.0,10.1,77.9
77.0,41.0,100.0,2.5,72.0
48.0,89.0,57.0,8.8,74.2
77.0,81.0,89.0,4.6,84.2
94.0,91.0,83.0,3.4,89.1
67.0,63.0,67.0,6.8,70.6
76.0,57.0,22.0,4.7,52.1
42.0,82.0,87.0,11.6,88.8
48.0,100.0,50.0,6.0,70.7
54.0,31.0,94.0,10.2,72.6
79.0,38.0,65.0,10.8,77.4
80.0,84.0,33.0,4.0,75.4
